BHP : Projection UTM Zone 12N; Datum WGS84
Patch:   Cobre
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC          M01         M02         M03         M04         M05         M06         M07         M08         M09         M10         M11         M12         M13         M14         M15         M16         M17         M18         M19         M20
    90       79     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   WE001184.DAT   537874.000  3621041.000      844.000            1         1950   MT003425.DAT   538651.000  3621310.000      879.000            1         2750        0.000        3.173        1.825     4318.706         0.10        30.61       Accept      41663.230        377.225         116          2000    -21.1     0.00   Accept       -2.748      -1.386      -0.683      -0.266      -0.117      -0.048      -0.011       0.013       0.019       0.008      -0.010      -0.024      -0.022      -0.001       0.019       0.021       0.010      -0.005      -0.012      -0.011
    90       89     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   MY002011.DAT   536703.000  3620641.000      792.000            1          750   TE001821.DAT   537484.000  3620910.000      824.000            1         1550        0.000       31.147        0.204     4318.706         0.10        75.80       Accept      10510.413        303.560         116          2000     -3.8     0.00   Accept       -5.815      -3.136      -1.598      -0.637      -0.278      -0.116      -0.033       0.018       0.037       0.047       0.056       0.060       0.062       0.058       0.042       0.028       0.034       0.037       0.036       0.030
    90      129     Good      824  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   XG000935.DAT   538364.000  3621205.000      863.000            1         2450   OW003630.DAT   539140.000  3621479.000      904.000            1         3250        0.000        2.094        2.663     4318.706         0.10        30.11       Accept      62089.485        384.457         116          2000    -17.8     0.00   Accept       -1.328      -0.724      -0.385      -0.179      -0.105      -0.066      -0.049      -0.035      -0.028      -0.026      -0.022      -0.005       0.022       0.037       0.028      -0.002      -0.023       0.002       0.022       0.010
    90      144     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   QD003372.DAT   537095.000  3620776.000      813.000            1         1150   WE001184.DAT   537874.000  3621041.000      844.000            1         1950        0.000       15.374        0.458     4318.706         0.10        64.67       Accept      18166.797        342.893         116          2000     -6.1     0.00   Accept       -4.399      -2.332      -1.182      -0.477      -0.220      -0.104      -0.042      -0.001       0.017       0.030       0.041       0.047       0.047       0.033       0.018       0.023       0.030       0.028       0.022       0.016
    90      145     Good      818  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   Z2000746.DAT   536320.000  3620516.000      778.000            1          350   QD003372.DAT   537095.000  3620776.000      813.000            1         1150        0.000       39.250        0.140     4318.706         0.10        59.11       Accept       6503.998        236.890         116          2000     -1.8     0.00   Accept       -4.196      -2.317      -1.185      -0.464      -0.189      -0.065      -0.000       0.040       0.052       0.057       0.059       0.059       0.060       0.057       0.043       0.033       0.042       0.048       0.042       0.029
    90      149     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   SY001994.DAT   537973.000  3621074.000      845.000            1         2050   QR004153.DAT   538750.000  3621343.000      887.000            1         2850        0.000        2.943        2.165     4318.706         0.10        30.95       Accept      45415.946        379.324         116          2000    -18.4     0.00   Accept       -2.025      -1.068      -0.551      -0.239      -0.122      -0.069      -0.036      -0.007       0.007       0.005      -0.006      -0.012      -0.004       0.010       0.014       0.007       0.001      -0.002      -0.002      -0.005
    90      165     Good      821  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   VT001008.DAT   537194.000  3620815.000      818.000            1         1250   SY001994.DAT   537973.000  3621074.000      845.000            1         2050        0.000       12.113        0.522     4318.706         0.10        58.06       Accept      20699.027        348.595         116          2000     -6.7     0.00   Accept       -3.764      -1.980      -0.997      -0.399      -0.182      -0.084      -0.033       0.001       0.016       0.024       0.031       0.035       0.034       0.020       0.009       0.022       0.031       0.025       0.016       0.010
    90      173     Good      824  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   TN003851.DAT   537583.000  3620945.000      829.000            1         1650   XG000935.DAT   538364.000  3621205.000      863.000            1         2450        0.000        5.177        1.182     4318.706         0.10        37.96       Accept      31663.879        368.697         116          2000    -16.1     0.00   Accept       -3.526      -1.761      -0.864      -0.339      -0.156      -0.075      -0.033      -0.005       0.003       0.003       0.003       0.004       0.007       0.005       0.007       0.019       0.024       0.007      -0.008      -0.007
    90      182     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   VG001668.DAT   536508.000  3620578.000      787.000            1          550   X0001239.DAT   537290.000  3620846.000      824.000            1         1350        0.000       38.477        0.147     4318.706         0.10        71.10       Accept       7980.629        273.930         116          2000     -2.3     0.00   Accept       -4.945      -2.728      -1.401      -0.557      -0.234      -0.087      -0.012       0.034       0.051       0.060       0.064       0.063       0.063       0.062       0.050       0.038       0.042       0.046       0.042       0.034
    90      186     Good      826  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   X0001239.DAT   537290.000  3620846.000      824.000            1         1350   X4001348.DAT   538071.000  3621112.000      854.000            1         2150        0.000        9.367        0.599     4318.706         0.10        50.00       Accept      23052.410        356.442         116          2000     -9.2     0.00   Accept       -3.950      -2.030      -1.007      -0.392      -0.178      -0.081      -0.028       0.006       0.016       0.020       0.025       0.029       0.030       0.016       0.008       0.021       0.027       0.015       0.008       0.007
    90      188     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   Y2001326.DAT   536997.000  3620746.000      805.000            1         1050   X1001268.DAT   537780.000  3621010.000      835.000            1         1850        0.000       18.146        0.339     4318.706         0.10        67.31       Accept      16019.881        335.788         116          2000     -5.6     0.00   Accept       -4.822      -2.572      -1.309      -0.530      -0.242      -0.111      -0.044      -0.002       0.014       0.028       0.042       0.051       0.053       0.042       0.023       0.020       0.033       0.037       0.028       0.018
    90      189     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   X1001268.DAT   537780.000  3621010.000      835.000            1         1850   YU001009.DAT   538562.000  3621277.000      877.000            1         2650        0.000        3.658        1.858     4318.706         0.10        32.29       Accept      38125.539        376.575         116          2000    -16.7     0.00   Accept       -2.483      -1.280      -0.640      -0.255      -0.114      -0.048      -0.010       0.018       0.023       0.012      -0.009      -0.024      -0.021      -0.003       0.017       0.021       0.008      -0.007      -0.009      -0.006
    91        9     Good      828  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   AS000798.DAT   536413.000  3620543.000      788.000            1          450   VT001009.DAT   537194.000  3620815.000      818.000            1         1250        0.000       34.358        0.074     4083.367         0.10        66.53       Accept       7907.131        273.341         114          2000     -3.5     0.00   Accept       -6.260      -3.274      -1.631      -0.624      -0.255      -0.103      -0.018       0.038       0.058       0.063       0.064       0.059       0.051       0.045       0.044       0.044       0.036       0.030       0.031       0.033
    91       17     Good      820  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   SE003232.DAT   537682.000  3620980.000      832.000            1         1750   HU005442.DAT   538458.000  3621241.000      871.000            1         2550        0.000        3.799        0.808     4083.367         0.10        35.52       Accept      38180.325        373.065         114          2000    -19.3     0.00   Accept       -3.186      -1.604      -0.795      -0.317      -0.147      -0.075      -0.033      -0.001       0.012       0.019       0.022       0.018       0.011       0.001       0.004       0.014       0.012       0.008       0.004       0.003
    91       25     Good      826  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   IF005575.DAT   536901.000  3620714.000      802.000            1          950   SE003232.DAT   537682.000  3620980.000      832.000            1         1750        0.000       18.775        0.167     4083.367         0.10        73.28       Accept      15937.001        335.006         114          2000     -6.1     0.00   Accept       -5.236      -2.787      -1.414      -0.564      -0.247      -0.115      -0.040       0.009       0.026       0.035       0.041       0.040       0.034       0.025       0.027       0.035       0.033       0.023       0.014       0.017
